id	class	text
2809	error	'operator %s' has no arguments
2810	error	extra argument to alternative form of 'operator delete' must be 'unsigned int'
2811	error	too many arguments to '_segment' form of 'operator delete'
2812	error	second argument expected for 'operator delete(_segment)'
2813	error	too many arguments to 'operator delete'
2814	error	bad second argument to 'operator delete(_segment'. Expected 'void _based(void)*'
2815	error	bad first argument to 'operator delete'. Expected 'void*'
2816	error	alternative form of 'operator delete' must be a member
2817	error	bad return type for 'operator delete'. Expected 'void'
2820	error	second argument expected for 'operator new(_segment)'
2821	error	bad first argument to 'operator new'. Expected 'unsigned int'
2822	error	bad second argument to 'operator new(_segment'. Expected 'unsigned int'
