name	c2_rva	c3_rva	c2_source	c3_source
_printf	0x00065696	0x0002d000	D:\nt\private\crt32st\stdio\printf.c	D:\nt\private\crt32st\stdio\printf.c
_prof_end	0x000459a4	0x00029fae	compiler_contribution_033 [_dumpn, _setc, _perr...]	debug.c
_prof_start	0x000459a0	0x00029faa	compiler_contribution_033 [_dumpn, _setc, _perr...]	debug.c
_pstrdup	0x00043fc8	0x00011094	compiler_contribution_029 [_pool_init, _getmem, _sgetmem...]	memallo.c
_remove	0x0005dd32	0x0002a8a2	D:\nt\private\crt32st\dos\unlink.c	D:\nt\private\crt32st\dos\unlink.c
_rtread	0x0004a068	0x00026ae8	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_setvbuf	0x000663ec	0x0002d090	D:\nt\private\crt32st\stdio\setvbuf.c	D:\nt\private\crt32st\stdio\setvbuf.c
_shift	0x0004d816	0x0002880a	D:\nt\private\fp32st\conv\cvt.c	D:\nt\private\fp32st\conv\cvt.c
_shread	0x00049e74	0x00026918	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_sign_extend	0x000655f2	0x0001ca1c	compiler_contribution_133 [_op_size, _c_size, _ea_size...]	csize.c
_sprintf	0x000664bc	0x0002d160	D:\nt\private\crt32st\stdio\sprintf.c	D:\nt\private\crt32st\stdio\sprintf.c
_strcat	0x00066e3c	0x0002d200	D:\nt\private\crt32st\string\strcat.c	D:\nt\private\crt32st\string\strcat.c
_strcpy	0x00066e64	0x0002d228	D:\nt\private\crt32st\string\strcat.c	D:\nt\private\crt32st\string\strcat.c
_strlen	0x00066edc	0x0002d250	D:\nt\private\crt32st\string\strlen.c	D:\nt\private\crt32st\string\strlen.c
_strncmp	0x00066efc	0x0002d270	D:\nt\private\crt32st\string\strncmp.c	D:\nt\private\crt32st\string\strncmp.c
_substr	0x0003539c	0x0002a26e	compiler_contribution_018 [_crack_cmd, _substr, _getnumber...]	getflags.c
_unconcat	0x000356bc	0x0002a54e	compiler_contribution_018 [_crack_cmd, _substr, _getnumber...]	getflags.c
_warning	0x0004c5c8	0x00026de4	compiler_contribution_041 [_error, _fatal, _warning...]	error.c
_werr	0x0004a254	0x00026cf0	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
_zsread	0x0004a09c	0x00026b18	compiler_contribution_037 [_chread, _keyread, _shread...]	ioin.c
doexit	0x0004cf14	0x000272f4	D:\nt\private\crt32st\startup\crt0dat.c	D:\nt\private\crt32st\startup\crt0dat.c
flsall	0x0004f090	0x00029510	D:\nt\private\crt32st\stdio\fflush.c	D:\nt\private\crt32st\stdio\fflush.c
get_int_arg	0x0005ede6	0x0002b9e6	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
get_long_arg	0x0005edf6	0x0002b9f6	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
inherit	0x0004ebfe	0x00028ff2	D:\nt\private\crt32st\startup\crt0.c	D:\nt\private\crt32st\startup\crt0.c
parse_cmdline	0x0004f5e0	0x00029a60	D:\nt\private\crt32st\startup\stdargv.c	D:\nt\private\crt32st\startup\stdargv.c
write_char	0x0005ed0a	0x0002b90a	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
write_multi_char	0x0005ed56	0x0002b956	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
write_string	0x0005ed82	0x0002b982	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
write_wstring	0x0005edb2	0x0002b9b2	D:\nt\private\crt32st\stdio\output.c	D:\nt\private\crt32st\stdio\output.c
xtoa	0x0005dc52	0x0002a7c2	D:\nt\private\crt32st\convert\xtoa.c	D:\nt\private\crt32st\convert\xtoa.c
