index	source	source_raw	start_rva	end_rva	length	functions
76	D:\nt\private\crt32st\lowio\lseek.c	D:\nt\private\crt32st\lowio\lseek.c	0x0004f270	0x0004f2ec	0x7c	__lseek
77	D:\nt\private\fp32st\conv\constpow.c	D:\nt\private\fp32st\conv\constpow.c	0x0004f2f6	0x0004f2f6	0x0	
78	D:\nt\private\crt32st\lowio\read.c	D:\nt\private\crt32st\lowio\read.c	0x0004f2f6	0x0004f52e	0x238	__read
79	D:\nt\private\crt32st\startup\stdargv.c	D:\nt\private\crt32st\startup\stdargv.c	0x0004f53c	0x0004f754	0x218	__setargv; parse_cmdline
80	D:\nt\private\crt32st\startup\stdenvp.c	D:\nt\private\crt32st\startup\stdenvp.c	0x0004f762	0x0004f866	0x104	__setenvp
81	D:\nt\private\crt32st\string\strdup.c	D:\nt\private\crt32st\string\strdup.c	0x0004f872	0x0004f8ce	0x5c	__strdup
82	D:\nt\private\crt32st\string\strupr.c	D:\nt\private\crt32st\string\strupr.c	0x0004f8d2	0x0004f8f6	0x24	__strupr
83	D:\nt\private\crt32st\lowio\write.c	D:\nt\private\crt32st\lowio\write.c	0x0004f902	0x0004fafe	0x1fc	__write
84	D:\nt\private\crt32st\convert\atof.c	D:\nt\private\crt32st\convert\atof.c	0x0004fb02	0x0004fb46	0x44	_atof
85	D:\nt\private\fp32st\conv\cfin.c	D:\nt\private\fp32st\conv\cfin.c	0x0004fb52	0x0004fc22	0xd0	__fltin
86	D:\nt\private\crt32st\convert\atox.c	D:\nt\private\crt32st\convert\atox.c	0x0004fc22	0x0004fcaa	0x88	_atol; _atoi
87	compiler_contribution_087 [_tablook, _looktab]	c:\c6\\cmerge\	0x0004fcb2	0x0004fd0a	0x58	_tablook; _looktab
88	compiler_contribution_088 [_loop_opt, _only_once, _dom...]	c:\c6\\cmerge\	0x0004fd12	0x00055492	0x5780	_loop_opt; _only_once; _dom; _iter_dom; _exit_dom; _is_outer; _tree_dom; _jmp_dom; _loop_type; _long_lp_cnt; _invar_chk; _is_invar; _invariants; _inv_tree; _lift_inv; _find_op; _cheap_invar; _induc_chk; _only_assign; _addinduc; _freeinduc; _addreduc; _is_induc; _is_vinduc; _strn_reduce; _find_reduc; _do_reduc; _reduc_filter; _namediff; _make_addop; _can_fold_induc; _addinind; _makeloopcnt; _blkmove; _bm_induc_expr; _chk_depend; _rminduc; _dead_on_exit; _incr_val; _ind_remove; _lftr; _upper_bnd_ok; _cvt_to_lcnt; _dead_loop; _loop_remove; _remove_blk; _remove_blk_flow; _loop_cleanup; _header_cse; _undagify; _undag1; _head_cprop; _tl_of; _bl_of; _ghashdump; _prghbit; _prbbv; _prbdom; _prfg; _prflow; _prinduc; _inddump; _prreduc; _reddump; _prloop; _bvtally; _global_opt; _grstores; _gcprop; _gcse; _gcprop_tr; _gcse1; _gcse2; _find_cp_srcs; _find_init; _last_asg; _addmark; _no_mark; _fixbits; _fixbits1; _clear_visited; _fixbits2; _unfixbits; _gh_enter; _hgh_enter; _gh_fix; _hoist_glob_marks; _bits_of; _nmoptimize; _extend_bvs; _calc_alt; _calc_pant; _p_uminus; _calc_lpant; _lp_uminus; _calc_ss; _ss_uminus; _calc_pcomm; _calc_av; _calc_ant
89	compiler_contribution_089 [_children0, _children]	c:\c6\\cmerge\	0x00055492	0x000555f2	0x160	_children0; _children
